h	theta	FAO_class		Sample
5	0.43	Ferralsols	Zimbabwe_Ferralsol_1	
10	0.38	Ferralsols	Zimbabwe_Ferralsol_1	
33	0.3	Ferralsols	Zimbabwe_Ferralsol_1	
100	0.25	Ferralsols	Zimbabwe_Ferralsol_1	
1500	0.15	Ferralsols	Zimbabwe_Ferralsol_1	
5	0.44	Ferralsols	Zimbabwe_Ferralsol_2	
10	0.4	Ferralsols	Zimbabwe_Ferralsol_2	
33	0.33	Ferralsols	Zimbabwe_Ferralsol_2	
100	0.26	Ferralsols	Zimbabwe_Ferralsol_2	
1500	0.16	Ferralsols	Zimbabwe_Ferralsol_2	
5	0.38	Ferralsols	Zimbabwe_Ferralsol_3	
10	0.35	Ferralsols	Zimbabwe_Ferralsol_3	
33	0.31	Ferralsols	Zimbabwe_Ferralsol_3	
100	0.27	Ferralsols	Zimbabwe_Ferralsol_3	
1500	0.1	Ferralsols	Zimbabwe_Ferralsol_3	
5	0.42	Ferralsols	Zimbabwe_Ferralsol_4	
10	0.36	Ferralsols	Zimbabwe_Ferralsol_4	
33	0.29	Ferralsols	Zimbabwe_Ferralsol_4	
100	0.23	Ferralsols	Zimbabwe_Ferralsol_4	
1500	0.08	Ferralsols	Zimbabwe_Ferralsol_4	
5	0.45	Ferralsols	Zimbabwe_Ferralsol_5	
10	0.37	Ferralsols	Zimbabwe_Ferralsol_5	
33	0.28	Ferralsols	Zimbabwe_Ferralsol_5	
100	0.23	Ferralsols	Zimbabwe_Ferralsol_5	
1500	0.14	Ferralsols	Zimbabwe_Ferralsol_5	
5	0.57	Vertisols	Zimbabwe_Vertisol_1	
10	0.55	Vertisols	Zimbabwe_Vertisol_1	
33	0.5	Vertisols	Zimbabwe_Vertisol_1	
100	0.32	Vertisols	Zimbabwe_Vertisol_1	
1500	0.32	Vertisols	Zimbabwe_Vertisol_1	
5	0.62	Vertisols	Zimbabwe_Vertisol_2	
10	0.58	Vertisols	Zimbabwe_Vertisol_2	
33	0.51	Vertisols	Zimbabwe_Vertisol_2	
100	0.39	Vertisols	Zimbabwe_Vertisol_2	
1500	0.36	Vertisols	Zimbabwe_Vertisol_2	
5	0.68	Vertisols	Zimbabwe_Vertisol_3	
10	0.66	Vertisols	Zimbabwe_Vertisol_3	
33	0.61	Vertisols	Zimbabwe_Vertisol_3	
100	0.4	Vertisols	Zimbabwe_Vertisol_3	
1500	0.33	Vertisols	Zimbabwe_Vertisol_3	
5	0.64	Vertisols	Zimbabwe_Vertisol_4	
10	0.62	Vertisols	Zimbabwe_Vertisol_4	
33	0.54	Vertisols	Zimbabwe_Vertisol_4	
100	0.41	Vertisols	Zimbabwe_Vertisol_4	
1500	0.39	Vertisols	Zimbabwe_Vertisol_4	
5	0.63	Vertisols	Zimbabwe_Vertisol_5	
10	0.61	Vertisols	Zimbabwe_Vertisol_5	
33	0.53	Vertisols	Zimbabwe_Vertisol_5	
100	0.42	Vertisols	Zimbabwe_Vertisol_5	
1500	0.42	Vertisols	Zimbabwe_Vertisol_5	
